,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Temperature (F),Wind Speed
387,colares,PT,1553902709,0,67,38.8,-9.45,56.37,9.17
388,beringovskiy,RU,1553902778,20,89,63.05,179.32,34.9,20.74
389,wuhu,CN,1553900400,20,100,31.35,118.43,51.8,2.24
390,bathsheba,BB,1553900400,40,74,13.22,-59.52,78.8,16.11
391,kushima,JP,1553902345,75,82,31.5,131.29,56.37,1.12
392,lavrentiya,RU,1553902779,92,95,65.58,-170.99,32.92,30.69
393,bissendorf,DE,1553902706,0,87,52.23,8.17,42.94,1.12
394,pontianak,ID,1553900400,20,94,-0.02,109.34,77.0,2.06
395,potsdam,DE,1553902743,0,87,52.4,13.06,40.77,3.96
396,at-bashi,KG,1553902780,64,94,41.17,75.81,27.7,0.6
397,bjerkvik,NO,1553902276,75,86,68.55,17.56,30.69,25.28
398,marawi,PH,1553902228,0,80,8.0,124.29,75.99,3.0
399,aldama,MX,1553902515,0,50,22.92,-98.09,81.0,13.0
400,auki,NG,1553902781,0,45,12.18,6.51,71.8,3.62
401,zhanakorgan,KZ,1553902782,20,88,43.91,67.25,42.01,2.73
402,forecariah,GN,1553900400,20,83,9.43,-13.09,80.6,9.17
403,codrington,AU,1553902473,92,74,-28.95,153.24,79.11,11.41
404,santa luzia,BR,1553900400,0,68,-19.77,-43.85,72.19,10.29
405,najran,SA,1553900400,5,49,17.54,44.22,73.4,4.7
406,katsuura,JP,1553902465,75,81,33.93,134.5,53.64,4.7
407,pangkalanbuun,ID,1553902632,64,98,-2.68,111.62,74.95,4.41
408,boma,NG,1553902783,0,55,11.23,4.46,78.73,2.73
409,vestmannaeyjar,IS,1553902784,0,100,63.44,-20.27,31.12,12.46
410,dodge city,US,1553902524,90,86,37.75,-100.02,39.33,17.22
411,marsabit,KE,1553902784,0,76,2.34,37.99,72.88,5.64
412,tingi,TZ,1553902784,0,100,-11.3,35.03,75.94,4.18
413,rapid valley,US,1553902732,90,100,44.06,-103.15,34.66,14.99
414,meadow lake,CA,1553900400,20,44,54.13,-108.44,37.4,2.24
415,saint-pierre,FR,1553902624,0,75,48.95,4.24,39.58,8.05
416,ambilobe,MG,1553902785,88,99,-13.19,49.05,70.54,4.18
417,byron bay,AU,1553902473,75,83,-28.65,153.62,79.05,24.16
418,charters towers,AU,1553902785,68,83,-20.07,146.27,81.34,7.99
419,san joaquin,PH,1553902786,12,75,10.59,122.14,78.28,8.55
420,la ronge,CA,1553900400,40,53,55.1,-105.3,32.0,5.82
421,tahoua,NE,1553902786,0,24,14.89,5.26,77.83,12.35
422,dukat,RS,1553902644,0,55,42.44,22.31,41.0,1.61
423,pacific grove,US,1553902757,1,58,36.62,-121.92,61.41,10.29
424,genhe,CN,1553902679,36,52,50.78,121.52,13.39,6.76
425,padang,ID,1553900400,48,94,-0.92,100.36,77.0,5.82
426,blagoveshchenka,RU,1553902787,8,81,52.83,79.87,35.08,9.55
427,souillac,FR,1553902554,0,54,45.6,-0.6,51.55,8.05
428,leshukonskoye,RU,1553902787,92,98,64.9,45.76,35.8,6.2
429,meulaboh,ID,1553902788,92,100,4.14,96.13,75.76,3.18
430,soe,EE,1553902696,0,86,57.91,26.05,39.38,14.99
431,karmala,IN,1553902788,44,62,18.41,75.19,66.58,2.84
432,mokhotlong,LS,1553902788,0,77,-29.29,29.06,34.72,1.95
433,nome,US,1553902750,75,60,30.04,-94.42,72.77,12.75
434,sola,FI,1553901600,0,48,62.78,29.36,39.2,13.87
435,saint-joseph,FR,1553902682,0,70,43.56,6.97,44.62,5.82
436,omsukchan,RU,1553902789,24,74,62.53,155.8,7.99,10.33
437,kasempa,ZM,1553902789,12,75,-13.46,25.83,61.81,4.97
438,buraydah,SA,1553900400,0,60,26.33,43.97,69.8,20.8
439,honningsvag,NO,1553902790,88,98,70.98,25.97,33.28,29.46
440,matagami,NG,1553902790,0,64,9.67,8.4,70.36,2.73
441,jeremie,HT,1553902790,8,100,18.65,-74.12,75.58,10.56
442,rawson,AR,1553902790,68,26,-43.3,-65.11,73.87,11.34
443,minnedosa,CA,1553900400,40,62,50.25,-99.84,32.0,21.92
444,marystown,CA,1553902764,68,91,47.17,-55.16,32.65,16.49
445,vostok,RU,1553902791,0,46,46.45,135.83,28.51,2.84
446,ajaigarh,IN,1553902529,0,63,24.9,80.27,68.38,1.39
447,panshi,CN,1553902791,68,48,42.94,126.05,34.45,4.18
448,grand gaube,MU,1553902744,40,88,-20.01,57.66,75.11,4.7
449,goba,ET,1553902792,0,76,7.01,39.97,45.43,3.18
450,mlalo,TZ,1553902792,32,94,-4.58,38.35,66.31,1.95
451,chak,PK,1553896800,0,78,27.86,68.83,77.0,9.89
452,gilbues,BR,1553902792,12,66,-9.83,-45.34,74.5,5.3
453,moctezuma,MX,1553902792,0,13,29.81,-109.68,80.53,3.51
454,qaqortoq,GL,1553899800,92,92,60.72,-46.03,24.8,17.05
455,morros,BR,1553900400,40,88,-2.87,-44.04,78.8,4.7
456,kendari,ID,1553902793,76,99,-3.99,122.52,75.22,3.4
457,ankang,CN,1553902793,92,55,32.73,108.99,47.5,1.95
458,ketchikan,US,1553900160,1,47,55.34,-131.65,51.76,6.93
459,moose factory,CA,1553900400,1,36,51.26,-80.61,30.2,9.17
460,abnub,EG,1553896800,40,40,27.27,31.15,71.6,20.8
461,salina cruz,MX,1553902794,0,44,16.18,-95.2,83.86,4.97
462,kirakira,SB,1553902794,32,100,-10.46,161.92,83.68,12.01
463,kazachinskoye,RU,1553902794,24,82,57.69,93.28,22.21,7.43
464,osmaniye,TR,1553902522,92,94,37.07,36.26,52.0,15.99
465,moba,CD,1553902795,12,100,-7.04,29.77,67.12,3.18
466,iranshahr,IR,1553902795,0,58,27.21,60.69,51.1,3.06
467,aguimes,ES,1553902532,20,82,27.91,-15.45,60.39,4.7
468,vadastrita,RO,1553902200,0,69,43.85,24.33,37.4,3.36
469,san quintin,PH,1553902795,0,52,17.54,120.52,80.8,3.4
470,constitucion,MX,1553902218,5,6,23.99,-104.67,83.61,6.93
471,songea,TZ,1553902796,12,95,-10.68,35.65,64.24,2.28
472,cap malheureux,MU,1553902744,40,88,-19.98,57.61,75.11,4.7
473,port blair,IN,1553902796,8,100,11.67,92.75,82.51,7.43
474,mabaruma,GY,1553902796,100,81,8.2,-59.78,80.26,8.77
475,pakxe,LA,1553902796,76,98,15.12,105.78,72.16,3.96
476,manaus,BR,1553900400,75,100,-3.13,-59.98,75.2,4.7
477,calabozo,VE,1553902797,88,77,8.92,-67.43,81.34,6.87
478,dubti,ET,1553902797,32,52,11.74,41.09,73.24,2.73
479,porto novo,BR,1553900400,75,77,-23.68,-45.44,69.8,10.29
480,gat,SN,1553900400,0,77,14.69,-16.54,68.0,24.16
481,kamyshla,RU,1553902798,64,90,54.11,52.14,26.89,9.78
482,neiafu,TO,1553900400,40,78,-18.65,-173.98,82.4,5.82
483,banjar,ID,1553902798,32,87,-7.37,108.54,72.61,2.06
484,monte alegre,BR,1553902798,44,85,-2.0,-54.07,78.28,2.39
485,male,UA,1553902672,12,90,50.74,33.7,35.62,8.43
486,usinsk,RU,1553902801,88,90,66.0,57.56,31.3,17.05
487,sistranda,NO,1553902768,75,86,63.73,8.83,38.43,25.28
488,sovetskiy,RU,1553902801,12,86,56.76,48.47,25.0,12.01
489,sao miguel do araguaia,BR,1553902801,36,92,-13.28,-50.16,76.39,2.73
490,hirara,JP,1553900400,75,78,24.8,125.28,75.2,8.05
491,dennis,US,1553902800,90,76,41.74,-70.19,46.78,13.87
492,coolum beach,AU,1553902768,56,91,-26.53,153.09,75.99,8.01
493,kattivakkam,IN,1553900400,20,88,13.22,80.32,80.6,2.24
494,codajas,BR,1553902802,48,87,-3.84,-62.06,79.9,3.29
495,bereda,ES,1553902375,0,81,43.27,-7.54,47.21,5.82
496,hasaki,JP,1553902777,75,81,35.73,140.83,48.49,12.75
497,san juan de los morros,VE,1553902803,88,95,9.91,-67.35,68.92,1.16
498,lasa,CY,1553902219,40,77,34.92,32.53,57.0,2.24
499,egvekinot,RU,1553902803,92,84,66.32,-179.17,25.81,3.74
500,atar,MR,1553902803,92,71,20.52,-13.05,70.09,4.18
501,namibe,AO,1553902804,12,98,-15.19,12.15,78.46,11.34
502,geraldton,CA,1553900400,75,37,49.72,-86.95,33.8,11.41
503,old saybrook,US,1553902801,1,62,41.29,-72.38,50.65,5.82
504,zhigansk,RU,1553902804,76,76,66.77,123.37,13.3,3.74
505,fort nelson,CA,1553900400,20,24,58.81,-122.69,57.2,11.41
506,jasper,US,1553902709,64,43,33.83,-87.28,70.84,6.42
507,dali,CN,1553902805,8,100,25.6,100.24,41.2,1.83
508,tutoia,BR,1553902510,88,100,-2.76,-42.27,74.86,4.07
509,port-gentil,GA,1553900400,40,94,-0.72,8.78,82.4,6.93
510,shorapani,GE,1553900400,90,93,42.1,43.08,41.0,3.36
511,merritt island,US,1553902803,20,64,28.54,-80.67,70.92,5.82
512,karaton,ID,1553902778,90,78,-6.34,106.1,79.83,3.36
513,truth or consequences,US,1553902310,1,3,33.13,-107.25,79.23,17.22
514,massakory,TD,1553902807,0,19,13.0,15.73,79.54,12.35
515,barinitas,VE,1553902807,44,86,8.76,-70.41,69.28,1.61
516,volterra,IT,1553902806,0,61,43.4,10.86,46.53,5.82
517,samarai,PG,1553902807,48,100,-10.62,150.67,80.71,2.95
518,muravlenko,RU,1553902808,92,97,63.79,74.5,31.84,11.12
519,muros,ES,1553902805,0,50,42.77,-9.06,48.74,3.36
520,chadiza,ZM,1553902808,0,80,-14.06,32.43,63.88,7.43
521,norman wells,CA,1553900400,20,60,65.28,-126.83,41.0,14.99
522,ola,RU,1553902809,0,100,59.58,151.3,20.14,6.64
523,ramhormoz,IR,1553902809,0,64,31.28,49.6,50.92,2.51
524,touros,BR,1553900400,20,88,-5.2,-35.46,80.6,5.82
525,kalmunai,LK,1553902809,0,98,7.42,81.82,66.58,3.74
526,sinnamary,GF,1553902810,88,89,5.38,-52.96,81.52,13.02
527,shakiso,ET,1553902810,0,74,5.77,38.9,52.36,2.73
528,lazaro cardenas,MX,1553902545,20,10,28.39,-105.62,85.87,6.93
529,igrim,RU,1553902810,0,91,63.19,64.42,24.91,6.2
530,nagar karnul,IN,1553902810,0,86,16.48,78.32,66.94,2.62
531,kibre mengist,ET,1553902811,0,74,5.87,38.99,52.36,2.73
532,sobolevo,RU,1553902811,0,89,54.43,31.9,39.4,11.01
533,prieska,ZA,1553902811,0,55,-29.67,22.74,56.5,2.62
534,kailua,US,1553902661,75,65,21.39,-157.74,76.71,8.05
535,oktyabrskoye,RU,1553902265,0,55,56.73,85.44,34.86,6.71
536,roald,NO,1553902802,40,80,62.58,6.12,39.18,19.46
537,north bend,US,1553902537,90,71,43.41,-124.22,53.85,9.17
538,borger,NL,1553902805,0,100,52.92,6.79,43.39,1.12
539,tessalit,ML,1553902812,68,25,20.2,1.01,85.21,13.58
540,chum phae,TH,1553902812,8,83,16.54,102.1,68.11,2.73
541,asosa,ET,1553902813,0,56,10.07,34.53,62.26,2.73
542,victor harbor,AU,1553902774,75,81,-35.55,138.62,56.66,17.22
543,requena,ES,1553902685,20,81,39.49,-1.1,46.71,5.82
544,madoc,CA,1553902694,40,36,43.71,-79.75,47.05,12.75
545,araouane,ML,1553902813,36,27,18.9,-3.53,79.36,4.63
546,almaznyy,RU,1553900400,40,56,48.03,40.04,41.0,11.18
547,suluq,LY,1553902814,0,99,31.67,20.25,50.74,8.43
548,polson,US,1553902454,75,27,47.69,-114.16,47.17,0.72
549,springbok,ZA,1553902814,36,55,-29.67,17.88,59.11,2.73
550,xuddur,SO,1553902814,8,46,4.12,43.89,72.97,10.22
551,sinazongwe,ZM,1553902814,0,53,-17.26,27.46,80.26,11.45
552,baykit,RU,1553902818,8,63,61.68,96.39,8.26,2.62
553,bahar,IR,1553900400,75,65,34.91,48.44,41.0,13.87
554,vila,IT,1553902816,0,76,45.18,8.4,46.71,5.82
555,tura,IN,1553902819,68,93,25.52,90.21,66.58,3.96
556,tsurugi,JP,1553900400,75,87,33.97,134.05,53.71,3.36
557,stuttgart,DE,1553902769,0,80,48.78,9.18,43.09,2.24
558,kharela,IN,1553902589,0,55,25.55,79.82,70.54,2.62
559,aguacatan,GT,1553902250,68,81,15.34,-91.31,63.0,1.95
560,tautira,PF,1553902342,75,66,-17.73,-149.15,87.37,10.29
561,kuandian,CN,1553902675,92,65,40.73,124.78,32.2,4.18
562,taylorville,US,1553902504,90,100,39.55,-89.29,56.21,4.7
563,sooke,CA,1553902564,40,44,48.37,-123.73,57.49,5.82
